EmployeeID,Name,Age,Department,Role,Location,DigitalTrainingHours,DigitalTransformationScore,YearsAtCompany,Satisfaction
95,Employee_95,44,Marketing,Coordinator,Sydney,86.3,98.95,25.9,7.7
96,Employee_96,31,IT,Executive,Paris,21.7,88.95,25.9,1.1
97,Employee_97,37,IT,Coordinator,Toronto,9.6,37.15,5.1,2.5
98,Employee_98,28,Operations,Manager,Paris,2.4,19.52,26,6.2
99,Employee_99,55,Operations,Manager,London,64.2,48.94,39.3,7.4
100,Employee_100,55,Finance,Coordinator,Singapore,60.7,74.16,36.5,9.2
101,Employee_101,53,Marketing,Executive,London,54.7,49.26,17.6,7.3
102,Employee_102,25,Marketing,Executive,Sydney,23.2,48.32,1.6,7
103,Employee_103,62,Sales,Manager,Dubai,39.1,83.82,14.5,4.5
104,Employee_104,59,IT,Executive,Dubai,59.4,36.14,33.1,1
105,Employee_105,61,Marketing,Executive,San Francisco,49.7,85.98,28.1,2.1
106,Employee_106,48,Finance,Analyst,New York,98.8,40.68,18.4,5.8
107,Employee_107,27,HR,Analyst,Toronto,13.6,32.82,2.2,7.1
108,Employee_108,29,IT,Specialist,Paris,69.5,45.4,17.1,4.8
109,Employee_109,28,HR,Coordinator,Dubai,40.4,76.24,18.8,7.6
110,Employee_110,32,Finance,Manager,Toronto,42.8,12.6,37.1,5.7
111,Employee_111,54,Operations,Executive,Paris,71.8,19.64,25.6,1.7
112,Employee_112,53,Finance,Specialist,New York,69.2,95.14,12.5,2.7
113,Employee_113,43,HR,Analyst,London,99.1,17.55,21,8.6
114,Employee_114,44,IT,Executive,Sydney,12.8,56.77,2.6,7.5
115,Employee_115,57,Sales,Coordinator,Berlin,10.4,57.93,38.9,9.1
116,Employee_116,55,Marketing,Analyst,Berlin,72.4,48.96,14.4,2.1
117,Employee_117,64,Finance,Manager,Toronto,57.8,64.47,19.1,9.9
118,Employee_118,60,IT,Executive,Singapore,27.4,22.98,14.2,2.9
119,Employee_119,42,Marketing,Specialist,Singapore,7.9,55.27,27.3,1.1
120,Employee_120,47,Operations,Manager,Tokyo,8.6,37.22,26.5,10
121,Employee_121,55,Operations,Executive,Tokyo,89.4,66.17,28.6,3.5
122,Employee_122,21,Marketing,Executive,Tokyo,19.2,14.12,10.7,7
123,Employee_123,55,Operations,Executive,Berlin,32.3,57.09,12.6,2.6
124,Employee_124,57,IT,Executive,London,22.7,18.53,5,6.2
125,Employee_125,34,Finance,Executive,New York,35.5,27.86,26.2,9.1
126,Employee_126,23,IT,Manager,Toronto,6.9,21.87,1.6,3.9
127,Employee_127,21,IT,Coordinator,Dubai,51.9,18.28,23.9,7
128,Employee_128,25,Marketing,Coordinator,Singapore,6.8,82.57,34.8,2.7
129,Employee_129,46,Sales,Manager,San Francisco,80,28.57,35.6,6.6
130,Employee_130,34,Sales,Coordinator,Paris,23.4,92.71,18,4
131,Employee_131,59,Finance,Specialist,New York,54,96.99,18.4,2.9
132,Employee_132,47,Marketing,Specialist,Sydney,88,57.13,3.1,3.8
133,Employee_133,29,Sales,Manager,New York,65.1,14.3,26.8,2.6
134,Employee_134,35,Operations,Specialist,Toronto,53.3,37.45,32.9,9.1
135,Employee_135,35,Sales,Manager,London,32.4,79.77,9.8,4.6
136,Employee_136,46,Operations,Specialist,Tokyo,33.3,36.74,16.9,3.2
137,Employee_137,62,Finance,Analyst,Dubai,66.9,8.7,33.6,5
138,Employee_138,33,IT,Manager,San Francisco,99.4,55.68,35.1,3.9
139,Employee_139,52,IT,Executive,Berlin,66.2,84.51,9.7,7.7
140,Employee_140,59,Sales,Specialist,London,55.8,79.59,22,9.7
141,Employee_141,52,Operations,Analyst,New York,73.1,17.51,7.7,4.9
142,Employee_142,24,HR,Manager,Berlin,46.5,67.28,4.1,8.7
143,Employee_143,50,HR,Specialist,Paris,6,22.05,36.4,6.1
144,Employee_144,57,HR,Executive,Tokyo,56.2,21.82,32.8,2.4
145,Employee_145,43,IT,Specialist,London,95.8,87.41,30.4,7.2
146,Employee_146,59,Marketing,Analyst,San Francisco,17.5,24.97,2,5.6
147,Employee_147,35,IT,Coordinator,London,69,26.32,33.7,6.9
148,Employee_148,63,Marketing,Coordinator,Tokyo,20.1,0.07,17.5,9
149,Employee_149,49,Operations,Analyst,Toronto,53.6,87.07,13.7,5
150,Employee_150,56,Sales,Analyst,San Francisco,9.7,79.26,21.9,9.1
151,Employee_151,33,HR,Manager,San Francisco,45,62.73,3.7,7.8
152,Employee_152,52,Operations,Coordinator,Tokyo,75.6,75.03,30.3,5.4
153,Employee_153,27,Operations,Manager,London,34.8,15.2,23.3,6.4
154,Employee_154,42,Sales,Specialist,Singapore,66.5,45.83,7.5,3.9
155,Employee_155,48,Operations,Analyst,Toronto,79.5,35.12,7.5,9.9
156,Employee_156,22,Sales,Manager,Paris,92.7,9.38,7.4,7
157,Employee_157,62,Finance,Analyst,Sydney,23.5,48.61,2.3,1.4
158,Employee_158,26,Sales,Manager,Toronto,39.9,92.07,23.5,3.9
159,Employee_159,48,HR,Specialist,Sydney,15.2,4.01,33.6,6.6
160,Employee_160,48,Marketing,Specialist,Paris,99.2,29.15,0.7,1.5
161,Employee_161,64,Marketing,Executive,San Francisco,92.7,20.75,2,1.2
162,Employee_162,64,HR,Coordinator,New York,54,23.81,22.9,5.1
163,Employee_163,40,Marketing,Executive,Tokyo,84.2,90.84,32.8,4
164,Employee_164,50,Sales,Coordinator,San Francisco,52.1,46.81,13.1,4.9
165,Employee_165,31,Finance,Specialist,San Francisco,62.4,46.63,14,3.4
166,Employee_166,48,Marketing,Manager,Tokyo,8.9,76.06,23.9,2.5
167,Employee_167,45,Finance,Analyst,Berlin,75.5,15.45,11,7.2
168,Employee_168,59,HR,Specialist,Tokyo,12.8,48.73,1.1,5.6
169,Employee_169,53,Finance,Specialist,Dubai,82.6,43,29.4,2.8
170,Employee_170,21,Operations,Manager,New York,78.2,59.69,25,3.9
171,Employee_171,47,IT,Specialist,Paris,70.9,99.96,23.2,6.3
172,Employee_172,33,Operations,Specialist,London,3.6,76.94,29.7,1.7
173,Employee_173,61,HR,Manager,London,30.3,39.79,27,2.3
174,Employee_174,23,Marketing,Specialist,Sydney,26.3,82.76,8.2,1.7
175,Employee_175,59,Marketing,Coordinator,Singapore,36,17.07,14.1,8.3
176,Employee_176,26,Finance,Coordinator,Toronto,8.8,3.05,5,7.8
177,Employee_177,28,Sales,Coordinator,Dubai,93.7,20.44,5.2,7.8
178,Employee_178,47,IT,Coordinator,Berlin,55.4,34.04,27,7.4
179,Employee_179,29,Sales,Specialist,Singapore,30.6,51.06,34.3,7
180,Employee_180,57,HR,Analyst,New York,39.7,61.51,38.5,5.3
181,Employee_181,53,Marketing,Coordinator,Toronto,44.7,91.06,25.1,6.8
182,Employee_182,62,Finance,Coordinator,Singapore,60.1,50.99,7.4,1.3
183,Employee_183,64,Marketing,Specialist,Toronto,51.6,50.13,4.2,6.6
184,Employee_184,44,Sales,Executive,Singapore,91.9,5.02,32.5,8
185,Employee_185,35,Sales,Specialist,San Francisco,49.7,3.49,23.2,5.5
186,Employee_186,52,IT,Manager,Dubai,99.2,55.12,24.7,4.2
187,Employee_187,52,IT,Coordinator,Berlin,85.1,43.82,31.3,3.5
188,Employee_188,44,Finance,Manager,San Francisco,20.9,83.92,28.1,6.8
189,Employee_189,61,IT,Coordinator,Tokyo,93.1,16.07,33.4,7.2
190,Employee_190,32,Sales,Executive,London,11.6,2.5,2.2,8.8
191,Employee_191,59,Sales,Analyst,Toronto,81.7,44.9,29.9,4.1
192,Employee_192,22,HR,Executive,New York,38.1,23.75,34,7.9
193,Employee_193,23,Sales,Specialist,Singapore,87.8,4.96,11.4,6.1
194,Employee_194,57,Finance,Specialist,Dubai,86.8,72.46,25.6,8.9
195,Employee_195,37,Operations,Manager,Singapore,80.6,11.16,12.6,5.8
196,Employee_196,22,HR,Manager,Dubai,79,60.83,38.3,5.7
197,Employee_197,22,HR,Specialist,Dubai,30.5,28.1,1.3,6.2
198,Employee_198,48,Finance,Specialist,Paris,8.1,17.35,23.2,7.7
199,Employee_199,43,Finance,Specialist,London,40.3,37.98,6.7,9.7
200,Employee_200,57,IT,Coordinator,San Francisco,17.4,80.14,28.5,1.7
201,Employee_201,52,HR,Executive,Paris,69.5,39.21,7,1.5
202,Employee_202,53,IT,Coordinator,Paris,34.6,75.08,9.4,9.4
203,Employee_203,21,Sales,Analyst,Berlin,97.6,12.55,19.8,5.8
204,Employee_204,39,HR,Coordinator,Berlin,64.1,77.28,36.6,6.5
205,Employee_205,22,HR,Specialist,Paris,82.2,23.69,8.5,5.3
206,Employee_206,64,Marketing,Coordinator,New York,13.3,67.74,5.8,1.8
207,Employee_207,46,Operations,Manager,Toronto,86.2,56.58,30.4,7.9
208,Employee_208,52,HR,Specialist,London,92.3,92.91,20,7.7
209,Employee_209,26,Sales,Executive,Toronto,48.7,38.73,36.5,3.8
210,Employee_210,52,IT,Coordinator,Berlin,60.6,6.62,5.9,3.8
211,Employee_211,24,IT,Specialist,Paris,76.5,1.92,25.8,8.5
212,Employee_212,31,Marketing,Manager,Dubai,17.5,82.69,9.3,1.7
213,Employee_213,37,Operations,Manager,Tokyo,50.3,52.47,6.3,8.9
214,Employee_214,58,Sales,Coordinator,Sydney,39.9,77.52,27.3,3.3
215,Employee_215,44,IT,Specialist,London,14.6,23.44,23.7,6.3
216,Employee_216,25,Finance,Executive,London,36.8,34.51,30.2,9.4
217,Employee_217,54,Sales,Analyst,Toronto,6.8,3.01,12.4,7.1
218,Employee_218,26,Sales,Manager,Singapore,2.6,96.15,17.9,4.7
219,Employee_219,42,Operations,Analyst,Toronto,13.5,66.79,16.2,7.2
220,Employee_220,31,IT,Executive,Singapore,96.3,93.32,39.4,4.1
221,Employee_221,36,Sales,Coordinator,Sydney,55,26.55,11.7,3.5
222,Employee_222,53,Marketing,Manager,Tokyo,96.6,61.15,11.8,10
223,Employee_223,29,Marketing,Analyst,Singapore,43.2,67.85,14.2,7.8
224,Employee_224,26,IT,Manager,San Francisco,31.2,31.75,22.6,6.8
225,Employee_225,36,Marketing,Analyst,New York,50.6,84.81,10.1,4.2
226,Employee_226,49,Finance,Specialist,Dubai,44,94.72,36.6,1.4
227,Employee_227,23,Operations,Specialist,Dubai,10.6,88.49,10.6,1.3
228,Employee_228,40,Marketing,Coordinator,Singapore,64.1,73.91,35.8,6
229,Employee_229,56,Marketing,Executive,Toronto,21.6,27.75,4.1,7.9
230,Employee_230,39,Finance,Manager,London,62,28.16,26.3,5.8
231,Employee_231,46,Operations,Executive,Toronto,65,96.34,36.3,8.6
232,Employee_232,23,Sales,Analyst,Paris,15.2,1.03,6.7,1.3
233,Employee_233,39,Operations,Coordinator,Paris,6.1,71.6,38.7,4.3
234,Employee_234,40,HR,Specialist,Dubai,78.1,70.62,18.1,3.1
235,Employee_235,52,IT,Specialist,Dubai,46,62.27,37.8,5
236,Employee_236,27,IT,Coordinator,Dubai,5.8,99.01,27.1,1.7
237,Employee_237,61,HR,Manager,London,99.5,31.19,12.1,9.6
238,Employee_238,53,Finance,Executive,London,5.8,34,7.5,3
239,Employee_239,60,HR,Analyst,Dubai,69.5,7.89,12.1,9.3
240,Employee_240,59,Sales,Executive,London,98.4,44.28,3.7,4.8
241,Employee_241,38,Sales,Specialist,Tokyo,23.9,26.1,5.8,9.9
242,Employee_242,60,IT,Coordinator,Singapore,14.2,34.34,4.2,6
243,Employee_243,21,Sales,Specialist,Sydney,12.1,83.46,16.9,9.4
244,Employee_244,31,IT,Specialist,Toronto,30.3,93.55,31.8,1
245,Employee_245,48,HR,Analyst,Tokyo,10.1,18.57,5.7,7.7
246,Employee_246,45,HR,Manager,Toronto,69.2,37.25,5.2,9.1
247,Employee_247,43,Marketing,Manager,San Francisco,6.2,92.86,25.7,2.3
248,Employee_248,51,Marketing,Analyst,Dubai,50.9,6.18,7.9,1.9
249,Employee_249,50,HR,Coordinator,Dubai,99.7,9.24,3.9,4.8
250,Employee_250,62,IT,Executive,San Francisco,81.4,16.28,6.7,9.4
251,Employee_251,55,HR,Coordinator,New York,61.5,59.52,36.9,5.9
252,Employee_252,27,HR,Executive,Paris,30.6,15.05,32.9,5.7
253,Employee_253,36,Finance,Manager,Tokyo,62.4,96.81,14.2,2.3
254,Employee_254,46,HR,Specialist,Toronto,52.7,44.67,26.2,1
255,Employee_255,22,Sales,Specialist,Paris,42.6,50.15,21.5,8.3
256,Employee_256,21,IT,Coordinator,Dubai,13.1,24.67,27.1,1.8
257,Employee_257,32,Finance,Analyst,Dubai,88.7,47.1,27.3,6.7
258,Employee_258,25,Marketing,Executive,Toronto,45,66.19,25.1,9.2
259,Employee_259,57,Operations,Specialist,New York,19.5,75.12,10.6,2.9
260,Employee_260,52,IT,Coordinator,Toronto,36.8,75.39,1.6,7
261,Employee_261,29,Sales,Analyst,Sydney,41.4,57.79,18.2,1.7
262,Employee_262,61,IT,Manager,Berlin,82.8,90.44,35.6,6.4
263,Employee_263,55,Marketing,Analyst,New York,73.4,81.74,22.8,2.5
264,Employee_264,39,Sales,Manager,San Francisco,76.9,75.7,33.3,7.6
265,Employee_265,36,Sales,Coordinator,Tokyo,1.1,5.56,39.7,3.7
266,Employee_266,23,Operations,Analyst,Sydney,41.6,0.69,6.5,5.2
267,Employee_267,40,IT,Coordinator,New York,48.1,21.24,27.7,6.4
268,Employee_268,44,Operations,Manager,Sydney,1.9,66.35,27,2.5
269,Employee_269,53,Operations,Specialist,Tokyo,26,41.12,39.2,7.7
270,Employee_270,44,IT,Specialist,Tokyo,76,40.24,39.4,3.7
271,Employee_271,31,HR,Manager,Tokyo,13.7,88.46,27.5,7
272,Employee_272,28,HR,Executive,San Francisco,53.5,89.56,9.7,2.4
273,Employee_273,56,Marketing,Executive,London,21.5,90.92,31.9,7.2
274,Employee_274,58,Operations,Specialist,Berlin,1.2,31.39,4.3,2.2
275,Employee_275,60,Finance,Specialist,Paris,24.1,69.11,31.2,4.8
276,Employee_276,40,Operations,Analyst,Tokyo,97.6,27.16,36.4,3.2
277,Employee_277,55,Operations,Analyst,San Francisco,80.2,19.06,15.3,7.7
278,Employee_278,45,Operations,Specialist,Sydney,96,18.46,25.2,3.4
279,Employee_279,55,Marketing,Executive,Tokyo,48.8,34.21,17.2,8.9
280,Employee_280,45,HR,Analyst,Toronto,11,43,17.5,9
281,Employee_281,49,Marketing,Manager,Dubai,54.8,83.09,12.4,2.8
282,Employee_282,38,Marketing,Analyst,London,45.4,11.99,30.5,6.5
283,Employee_283,38,Marketing,Analyst,Berlin,84.4,73.49,37.4,1.8
284,Employee_284,22,HR,Analyst,San Francisco,9.8,53.15,37.6,4.5
285,Employee_285,55,HR,Coordinator,Berlin,48.8,28.79,7,7.4
286,Employee_286,36,Operations,Manager,Toronto,15,49.28,35,6.9
287,Employee_287,61,Marketing,Specialist,San Francisco,32.5,29.99,29.5,6.6
288,Employee_288,56,Finance,Executive,Singapore,73.7,59.61,10.1,3.5
289,Employee_289,53,HR,Executive,Sydney,47.6,43.38,2.7,4.4
290,Employee_290,24,IT,Specialist,New York,37.6,16.44,10.7,1.9
291,Employee_291,53,IT,Coordinator,Singapore,39.4,11.66,36.5,7.5
292,Employee_292,34,IT,Executive,Paris,45.9,54.67,25.3,5.5
293,Employee_293,41,Sales,Analyst,London,78.5,90.24,28.8,7.4
294,Employee_294,40,Operations,Executive,Tokyo,89.2,34.4,10.3,3.2
295,Employee_295,28,IT,Manager,Singapore,95.5,73.3,28.8,3.9
296,Employee_296,27,Operations,Manager,Toronto,78.7,65.87,1.1,4
297,Employee_297,23,IT,Specialist,Paris,31.5,93.16,15,1.2
298,Employee_298,37,Finance,Coordinator,Singapore,68.8,82.1,25.1,4.1
299,Employee_299,53,Operations,Coordinator,Dubai,43.8,56.66,5.8,8.2
300,Employee_300,32,IT,Executive,New York,25.5,65.7,32.9,9.1
301,Employee_301,42,HR,Coordinator,Paris,84.1,89.84,9.4,5.7
302,Employee_302,42,Operations,Coordinator,Berlin,3.8,39.95,26.1,5.1
303,Employee_303,50,Sales,Executive,Berlin,90.2,32.68,16.2,1.3
304,Employee_304,58,HR,Manager,New York,46.1,1.08,23.8,8.9
305,Employee_305,58,HR,Analyst,Berlin,63.7,82.66,4.3,1.1
306,Employee_306,28,Marketing,Specialist,New York,65.9,80.1,0.7,9.5
307,Employee_307,47,Sales,Manager,San Francisco,89.5,10.45,36.4,5.4
308,Employee_308,47,HR,Coordinator,New York,63.7,57.69,10.8,4.1
309,Employee_309,54,HR,Coordinator,Sydney,61.4,46.4,32.8,9.3
310,Employee_310,41,IT,Executive,Berlin,6.7,11.87,40,1.2
311,Employee_311,50,IT,Specialist,Tokyo,51.8,98.06,8.5,6.2
312,Employee_312,53,Operations,Analyst,Sydney,15,21.47,10.6,5.9
313,Employee_313,48,Operations,Executive,San Francisco,73.7,6.72,26.5,3
314,Employee_314,53,Operations,Executive,Singapore,51.2,59.48,38.6,4.9
315,Employee_315,25,IT,Analyst,Toronto,68,73.89,36.6,6.9
316,Employee_316,39,Operations,Analyst,London,4.2,3.24,20.1,7.5
317,Employee_317,24,HR,Coordinator,New York,8.5,65.87,31.8,1
318,Employee_318,55,IT,Executive,Berlin,71.6,53.23,5.4,9.4
319,Employee_319,37,Operations,Manager,Sydney,7.2,10.33,39.1,2.5
320,Employee_320,64,HR,Manager,San Francisco,7.1,17.25,38.6,3.1
321,Employee_321,48,Operations,Executive,Dubai,1.2,56.8,6.5,3.4
322,Employee_322,50,Finance,Analyst,San Francisco,95.7,29.64,12,1.3
323,Employee_323,49,Operations,Specialist,Paris,73.8,93.83,4,2.1
324,Employee_324,26,Finance,Analyst,San Francisco,35.3,81.87,10.9,9.9
325,Employee_325,55,Operations,Analyst,Dubai,29.7,98.36,32.6,3.8
326,Employee_326,61,Marketing,Specialist,Singapore,35,25.97,15.1,2
327,Employee_327,57,Marketing,Analyst,Sydney,77.5,96.97,3.5,2
328,Employee_328,44,Sales,Specialist,Sydney,66.1,43.12,13.7,7.5
329,Employee_329,49,Marketing,Executive,Paris,18.5,34.75,39.3,8.7
330,Employee_330,51,Marketing,Specialist,Tokyo,17.4,5.03,25.2,3.3
331,Employee_331,55,Operations,Manager,London,9.8,5.28,16.6,1.2
332,Employee_332,53,IT,Specialist,Tokyo,66,69.2,6.7,3
333,Employee_333,41,IT,Analyst,New York,76.4,45.79,39.4,1.5
334,Employee_334,52,Finance,Executive,Toronto,26.5,22.65,32.8,1.9
335,Employee_335,43,IT,Specialist,New York,2.1,61.4,11.3,4.9
336,Employee_336,53,HR,Analyst,Paris,8.2,25.29,2.8,3.1
337,Employee_337,23,Sales,Specialist,Dubai,96.8,57.76,2.3,5.6
338,Employee_338,38,Marketing,Executive,Berlin,29.5,35.92,4.8,3.3
339,Employee_339,45,Sales,Executive,Berlin,76.9,82.36,23.2,9.5
340,Employee_340,62,HR,Manager,Berlin,62.5,82.07,37.2,9.2
341,Employee_341,51,Marketing,Executive,Berlin,38.2,47.74,19.9,6.1
342,Employee_342,23,Finance,Analyst,Tokyo,20.6,35.08,33.7,4.2
343,Employee_343,60,HR,Executive,Toronto,12.1,36.26,17.8,4.4
344,Employee_344,44,HR,Executive,Singapore,61.5,80.57,28.3,4.7
345,Employee_345,52,Sales,Analyst,New York,77.5,32.82,29.3,7.5
346,Employee_346,42,Operations,Analyst,New York,64.4,20.91,7,5.1
347,Employee_347,43,Sales,Executive,San Francisco,53,8.47,14.4,8.7
348,Employee_348,22,Sales,Executive,Paris,4.2,46.67,25.5,9.5
349,Employee_349,47,IT,Specialist,Paris,96.8,48.21,2.8,4
350,Employee_350,62,HR,Executive,Dubai,79.9,84.09,14.5,6
351,Employee_351,22,Sales,Manager,New York,29.3,22.12,21.4,1.9
352,Employee_352,46,HR,Manager,Berlin,98,38.1,39.8,2.8
353,Employee_353,37,IT,Manager,Tokyo,60.2,80.84,19,4.7
354,Employee_354,60,HR,Manager,Dubai,58.2,82.36,32.6,2.9
355,Employee_355,53,Sales,Executive,Tokyo,74.8,38.46,17.3,8.9
356,Employee_356,29,HR,Specialist,Tokyo,81.2,45.91,31.9,2.4
357,Employee_357,63,Marketing,Analyst,Toronto,65.6,30.33,23.8,5.1
358,Employee_358,59,IT,Executive,Toronto,12.8,93.26,35.5,6.5
359,Employee_359,49,Operations,Coordinator,Sydney,33.8,11.86,16.4,7.2
360,Employee_360,62,HR,Executive,San Francisco,92.8,93.37,24.2,4.4
